module,normal_time,skipkernel_time
Mathlib.Algebra.BigOperators.Group.List.Defs,0m1.188s,0m1.102s
Mathlib.Control.Applicative,0m1.195s,0m1.178s
Mathlib.Algebra.Group.Nat.Defs,0m1.010s,0m1.005s
Mathlib.Algebra.Group.Invertible.Defs,0m1.292s,0m1.304s
Mathlib.Algebra.Group.Int.Defs,0m1.016s,0m1.017s
Mathlib.Data.Tree.RBMap,0m2.452s,0m2.209s
Mathlib.Tactic.Explode.Pretty,0m0.800s,0m0.794s
Mathlib.Algebra.Group.Semiconj.Defs,0m1.228s,0m1.173s
Mathlib.Data.Nat.Cast.Defs,0m1.296s,0m1.305s
Mathlib.Algebra.GroupWithZero.Defs,0m1.297s,0m1.310s
Mathlib.Tactic.Polyrith,0m0.780s,0m0.798s
Mathlib.Tactic.Linter.ValidatePRTitle,0m1.096s,0m1.105s
Mathlib.Tactic.Recall,0m0.991s,0m1.005s
Mathlib.Tactic.ReduceModChar.Ext,0m0.794s,0m0.781s
Mathlib.Tactic.RewriteSearch,0m0.801s,0m0.788s
Mathlib.Tactic.Replace,0m0.806s,0m0.779s
Mathlib.Tactic.ToFun,0m1.017s,0m1.005s
Mathlib.Algebra.Group.InjSurj,0m2.020s,0m2.017s
Mathlib.Lean.Expr.ExtraRecognizers,0m1.107s,0m1.112s
Mathlib.Data.List.GetD,0m1.203s,0m1.197s
Mathlib.Data.Prod.Basic,0m1.494s,0m1.507s
Mathlib.Data.FunLike.Basic,0m1.092s,0m1.116s
Mathlib.Algebra.Group.Pi.Basic,0m1.693s,0m1.721s
Mathlib.Tactic.GRewrite,0m0.993s,0m0.998s
Mathlib.Data.Quot,0m1.692s,0m1.706s
Mathlib.Data.Tree.Traversable,0m1.092s,0m1.008s
Mathlib.Control.Traversable.Lemmas,0m1.118s,0m1.108s
Mathlib.Algebra.Homology.HasNoLoop,0m1.109s,0m1.099s
Mathlib.Order.SetNotation,0m3.286s,0m3.278s
Mathlib.Tactic.CongrExclamation,0m2.362s,0m2.339s
Mathlib.Tactic.CC.Datatypes,0m2.868s,0m2.971s
Mathlib.Tactic.Sat.FromLRAT,0m1.842s,0m1.944s
Mathlib.Data.Nat.Cast.NeZero,0m1.012s,0m1.004s
Mathlib.Tactic.Explode,0m1.202s,0m1.095s
Mathlib.Data.Int.Cast.Defs,0m1.013s,0m0.973s
Mathlib.Tactic.Linter.TextBased,0m1.594s,0m1.610s
Mathlib.Algebra.GroupWithZero.Nat,0m0.979s,0m1.018s
Mathlib.Algebra.GroupWithZero.NeZero,0m0.980s,0m1.108s
Mathlib.Algebra.GroupWithZero.Regular,0m1.085s,0m1.098s
Mathlib.Tactic.Widget.GCongr,0m1.114s,0m1.101s
Mathlib.Algebra.Group.Commute.Defs,0m1.315s,0m1.270s
Mathlib.Data.Set.Notation,0m1.312s,0m1.208s
Mathlib.Logic.Nontrivial.Basic,0m1.099s,0m1.088s
Mathlib.Data.FunLike.Embedding,0m1.008s,0m1.006s
Mathlib.Algebra.Notation.Prod,0m1.424s,0m1.404s
Mathlib.Algebra.Group.Basic,0m4.831s,0m5.166s
Mathlib.Topology.Defs.Basic,0m1.290s,0m1.322s
Mathlib.Tactic.Convert,0m1.427s,0m1.408s
Mathlib.Algebra.CharZero.Defs,0m1.093s,0m1.108s
Mathlib.Util.AssertNoSorry,0m0.788s,0m0.807s
Mathlib.Tactic.DeriveTraversable,0m2.195s,0m2.142s
Mathlib.Testing.Plausible.Testable,0m0.986s,0m1.019s
Mathlib.Algebra.Ring.Defs,0m1.703s,0m1.691s
Mathlib.Util.FormatTable,0m0.794s,0m0.784s
Mathlib.Util.GetAllModules,0m0.785s,0m0.800s
Mathlib.Util.LongNames,0m0.758s,0m0.781s
Mathlib.Tactic.TermCongr,0m2.576s,0m2.671s
Mathlib.Util.SleepHeartbeats,0m0.785s,0m0.794s
Mathlib.Util.Simp,0m1.012s,0m1.011s
Mathlib.Util.Export,0m1.416s,0m1.421s
Mathlib.Data.FunLike.Equiv,0m0.979s,0m1.106s
Mathlib.Algebra.GroupWithZero.InjSurj,0m1.401s,0m1.431s
Mathlib.Algebra.Group.Hom.Defs,0m3.627s,0m3.571s
Mathlib.Tactic.CC.MkProof,0m3.182s,0m3.196s
Mathlib.Data.Int.Cast.Basic,0m1.311s,0m1.315s
Mathlib.Tactic.Nontriviality.Core,0m1.508s,0m1.524s
Mathlib.Algebra.Group.Semiconj.Basic,0m1.227s,0m1.209s
Mathlib.Data.Nat.PSub,0m1.215s,0m1.198s
Mathlib.Algebra.Group.Torsion,0m1.304s,0m1.306s
Mathlib.Topology.ContinuousMap.Defs,0m1.194s,0m1.335s
Mathlib.Tactic.MoveAdd,0m1.591s,0m1.635s
Mathlib.Algebra.GroupWithZero.Basic,0m1.588s,0m1.593s
Mathlib.Algebra.Group.Units.Defs,0m2.529s,0m2.634s
Mathlib.Data.Int.Basic,0m1.198s,0m1.194s
Mathlib.Logic.Lemmas,0m1.209s,0m1.268s
Mathlib.Data.Nat.Bits,0m1.321s,0m1.269s
Mathlib.Algebra.Ring.Nat,0m1.057s,0m1.066s
Mathlib.Algebra.Ring.Semiconj,0m1.116s,0m1.090s
Mathlib.Algebra.Ring.PUnit,0m0.984s,0m1.009s
Mathlib.Algebra.Ring.Regular,0m1.098s,0m1.198s
