rank,module,normal_time,skipkernel_time,time_diff,pct_diff
6528,Mathlib.Analysis.SpecialFunctions.Log.Base,3.46,3.67,-0.22,-5.9
6529,Mathlib.NumberTheory.Transcendental.Liouville.LiouvilleWith,2.81,2.98,-0.18,-5.9
6530,Mathlib.Analysis.CStarAlgebra.Multiplier,13.80,14.67,-0.87,-5.9
6531,Mathlib.Algebra.Ring.Int.Units,1.08,1.15,-0.07,-5.9
6532,Mathlib.Algebra.Module.Basic,1.50,1.60,-0.10,-6.0
6533,Mathlib.AlgebraicGeometry.Modules.Sheaf,2.22,2.36,-0.14,-6.0
6534,Mathlib.CategoryTheory.Bicategory.EqToHom,1.31,1.39,-0.08,-6.0
6535,Mathlib.Order.Closure,1.81,1.92,-0.11,-6.0
6536,Mathlib.CategoryTheory.Localization.Predicate,2.70,2.87,-0.17,-6.0
6537,Mathlib.Order.Category.CompleteLat,1.73,1.83,-0.11,-6.0
6538,Mathlib.Order.Interval.Multiset,1.59,1.70,-0.10,-6.0
6539,Mathlib.LinearAlgebra.DirectSum.Finsupp,3.56,3.79,-0.23,-6.0
6540,Mathlib.Order.Filter.Defs,2.00,2.13,-0.13,-6.0
6541,Mathlib.Algebra.Order.Sub.Unbundled.Basic,1.39,1.48,-0.09,-6.0
6542,Mathlib.Analysis.Calculus.FDeriv.Const,3.52,3.75,-0.23,-6.0
6543,Mathlib.Algebra.GCDMonoid.Nat,1.40,1.49,-0.09,-6.0
6544,Mathlib.FieldTheory.IsAlgClosed.AlgebraicClosure,4.29,4.57,-0.28,-6.0
6545,Mathlib.Data.Int.Log,2.16,2.30,-0.14,-6.0
6546,Mathlib.Order.Partition.Equipartition,1.81,1.93,-0.12,-6.1
6547,Mathlib.Analysis.Normed.Operator.BanachSteinhaus,2.12,2.26,-0.14,-6.1
6548,Mathlib.Algebra.MvPolynomial.Cardinal,1.59,1.70,-0.10,-6.1
6549,Mathlib.Algebra.Category.AlgebraCat.Symmetric,1.50,1.60,-0.10,-6.1
6550,Mathlib.RingTheory.Etale.Kaehler,21.19,22.56,-1.37,-6.1
6551,Mathlib.Algebra.Group.Pointwise.Set.Basic,5.09,5.42,-0.33,-6.1
6552,Mathlib.MeasureTheory.Measure.Decomposition.Hahn,2.62,2.79,-0.17,-6.1
6553,Mathlib.Algebra.Ring.Identities,2.04,2.17,-0.13,-6.1
6554,Mathlib.CategoryTheory.Bicategory.Functor.Prelax,1.79,1.90,-0.12,-6.1
6555,Mathlib.Tactic.CategoryTheory.Coherence,1.88,2.00,-0.12,-6.1
6556,Mathlib.GroupTheory.FreeGroup.CyclicallyReduced,2.42,2.57,-0.16,-6.1
6557,Mathlib.Topology.MetricSpace.UniformConvergence,4.06,4.33,-0.26,-6.1
6558,Mathlib.Data.Prod.Lex,1.92,2.05,-0.12,-6.1
6559,Mathlib.RingTheory.Flat.CategoryTheory,2.03,2.16,-0.13,-6.1
6560,Mathlib.Analysis.InnerProductSpace.Projection.Minimal,3.85,4.11,-0.25,-6.1
6561,Mathlib.Algebra.Field.ULift,1.40,1.49,-0.09,-6.1
6562,Mathlib.Algebra.Group.Subgroup.MulOppositeLemmas,1.59,1.70,-0.10,-6.1
6563,Mathlib.Order.SupClosed,3.12,3.33,-0.20,-6.1
6564,Mathlib.Analysis.InnerProductSpace.OfNorm,4.40,4.69,-0.29,-6.2
6565,Mathlib.MeasureTheory.Measure.Typeclasses.NoAtoms,1.89,2.01,-0.12,-6.2
6566,Mathlib.MeasureTheory.MeasurableSpace.Basic,1.58,1.69,-0.10,-6.2
6567,Mathlib.Data.WSeq.Relation,2.51,2.67,-0.17,-6.2
6568,Mathlib.Algebra.Ring.Subsemiring.MulOpposite,1.62,1.73,-0.11,-6.2
6569,Mathlib.Topology.JacobsonSpace,1.62,1.73,-0.11,-6.2
6570,Mathlib.Analysis.Meromorphic.Basic,4.22,4.49,-0.28,-6.2
6571,Mathlib.RingTheory.UniqueFactorizationDomain.Finite,1.38,1.47,-0.09,-6.2
6572,Mathlib.Order.UpperLower.CompleteLattice,2.40,2.55,-0.16,-6.2
6573,Mathlib.Algebra.Order.Module.OrderedSMul,1.59,1.69,-0.10,-6.2
6574,Mathlib.AlgebraicTopology.SimplicialSet.SubcomplexColimits,1.60,1.71,-0.11,-6.2
6575,Mathlib.RingTheory.RootsOfUnity.Minpoly,2.40,2.56,-0.16,-6.2
